country,ym,sb,n,sb_rate,cohort,id
AT,24183,11,208,0.052884615384615384,24209,1
AT,24184,5,100,0.05,24209,1
AT,24185,15,199,0.07537688442211055,24209,1
AT,24186,17,196,0.08673469387755102,24209,1
AT,24187,3,98,0.030612244897959183,24209,1
AT,24188,8,232,0.034482758620689655,24209,1
AT,24189,3,110,0.02727272727272727,24209,1
AT,24190,7,31,0.22580645161290322,24209,1
AT,24191,2,49,0.04081632653061224,24209,1
AT,24192,11,119,0.09243697478991597,24209,1
AT,24193,33,111,0.2972972972972973,24209,1
AT,24194,24,138,0.17391304347826086,24209,1
AT,24195,4,116,0.034482758620689655,24209,1
AT,24196,0,52,0.0,24209,1
AT,24197,0,68,0.0,24209,1
AT,24198,0,29,0.0,24209,1
AT,24199,0,46,0.0,24209,1
AT,24200,5,93,0.053763440860215055,24209,1
AT,24201,6,51,0.11764705882352941,24209,1
AT,24202,18,135,0.13333333333333333,24209,1
AT,24203,6,50,0.12,24209,1
AT,24204,14,145,0.09655172413793103,24209,1
AT,24205,8,188,0.0425531914893617,24209,1
AT,24206,17,127,0.13385826771653545,24209,1
AT,24207,6,117,0.05128205128205128,24209,1
AT,24209,7,82,0.08536585365853659,24209,1
AT,24210,6,108,0.05555555555555555,24209,1
AT,24211,3,27,0.1111111111111111,24209,1
AT,24212,12,117,0.10256410256410256,24209,1
AT,24213,9,232,0.03879310344827586,24209,1
AT,24214,12,225,0.05333333333333334,24209,1
AT,24215,27,238,0.1134453781512605,24209,1
AT,24216,14,124,0.11290322580645161,24209,1
AT,24217,5,97,0.05154639175257732,24209,1
AT,24218,19,116,0.16379310344827586,24209,1
AT,24219,14,174,0.08045977011494253,24209,1
AT,24220,11,112,0.09821428571428571,24209,1
AT,24221,16,164,0.0975609756097561,24209,1
AT,24222,13,130,0.1,24209,1
AT,24223,8,98,0.08163265306122448,24209,1
AT,24224,14,121,0.11570247933884298,24209,1
AT,24225,8,121,0.06611570247933884,24209,1
AT,24226,20,158,0.12658227848101267,24209,1
AT,24227,18,142,0.1267605633802817,24209,1
AT,24228,17,154,0.11038961038961038,24209,1
AT,24229,22,234,0.09401709401709402,24209,1
