country_code,country,main activity sector name,ETS information,year,value,unit
FI,Finland,43 Production of hydrogen and synthesis gas,2.1 EU-ETS Verified Emission,2013,0,tonne of CO2 equ.
FI,Finland,43 Production of hydrogen and synthesis gas,2.1 EU-ETS Verified Emission,2014,0,tonne of CO2 equ.
FI,Finland,43 Production of hydrogen and synthesis gas,2.1 EU-ETS Verified Emission,2018,0,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2005,116435,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2013,85780,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2014,73596,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2015,42036,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2018,22124,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2009,117205,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2016,28090,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2019,19231,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2023,20319,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2024,18476,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2016,0,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2020,0,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,2. Verified emissions,2006,71952,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,2. Verified emissions,2015,42618,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,4.1 Surrendered EU allowances (EUAs and EUAAs),2009,71911,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,4.1 Surrendered EU allowances (EUAs and EUAAs),2020,15738,tonne of CO2 equ.
FR,France,10 Aviation,1.1 Freely allocated allowances,2015,2093822,tonne of CO2 equ.
FR,France,10 Aviation,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2019,0,tonne of CO2 equ.
FR,France,10 Aviation,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2023,0,tonne of CO2 equ.
FR,France,10 Aviation,1.1.4 Swiss Free Allocated allowances for aircraft operators,2020,18666,tonne of CO2 equ.
FR,France,10 Aviation,2.1 EU-ETS Verified Emission,2013,4153800,tonne of CO2 equ.
FR,France,10 Aviation,2.1 EU-ETS Verified Emission,2014,3956155,tonne of CO2 equ.
FR,France,10 Aviation,2.1 EU-ETS Verified Emission,2015,4055404,tonne of CO2 equ.
FR,France,10 Aviation,4. Total surrendered units,2012,9793335,tonne of CO2 equ.
FR,France,10 Aviation,4.1 Surrendered EU allowances (EUAs and EUAAs),2023,2284141,tonne of CO2 equ.
FR,France,10 Aviation,4.3 Surrendered emission reduction units (ERUs),2012,611493,tonne of CO2 equ.
FR,France,20 Combustion of fuels,1.1.1 Free allocation to existing entities (Art. 10a(1)),2007,70955052,tonne of CO2 equ.
NO,Norway,29 Production of cement clinker,1.1 Freely allocated allowances,2013,1095154,tonne of CO2 equ.
NO,Norway,29 Production of cement clinker,1.1 Freely allocated allowances,2014,1076132,tonne of CO2 equ.
NO,Norway,29 Production of cement clinker,1.1 Freely allocated allowances,2015,1056886,tonne of CO2 equ.
NO,Norway,29 Production of cement clinker,1.1.1 Free allocation to existing entities (Art. 10a(1)),2012,1311999,tonne of CO2 equ.
NO,Norway,29 Production of cement clinker,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2013,0,tonne of CO2 equ.
NO,Norway,29 Production of cement clinker,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2014,0,tonne of CO2 equ.
NO,Norway,29 Production of cement clinker,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2018,0,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1 Freely allocated allowances,2019,9488988,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1 Freely allocated allowances,2022,8825973,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1.1 Free allocation to existing entities (Art. 10a(1)),2013,10135635,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1.1 Free allocation to existing entities (Art. 10a(1)),2014,9921710,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1.1 Free allocation to existing entities (Art. 10a(1)),2018,9160444,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1.1 Free allocation to existing entities (Art. 10a(1)),2022,8825973,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2019,521738,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2021,0,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2022,0,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),2. Verified emissions,2008,5063269,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),2. Verified emissions,2016,10354104,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),2.1 EU-ETS Verified Emission,2012,4885541,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),4. Total surrendered units,2010,5062287,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),4.1 Surrendered EU allowances (EUAs and EUAAs),2020,10703580,tonne of CO2 equ.
NO,Norway,21-99 All industrial installations (excl. combustion),4.2 Surrendered certified emission reductions (CERs),2009,18049,tonne of CO2 equ.
NO,Norway,24  Production of pig iron or steel,1.1 Freely allocated allowances,2015,70628,tonne of CO2 equ.
NO,Norway,24  Production of pig iron or steel,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2013,0,tonne of CO2 equ.
NO,Norway,24  Production of pig iron or steel,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2014,0,tonne of CO2 equ.
NO,Norway,24  Production of pig iron or steel,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2015,0,tonne of CO2 equ.
NO,Norway,24  Production of pig iron or steel,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2019,0,tonne of CO2 equ.
NO,Norway,24  Production of pig iron or steel,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2023,0,tonne of CO2 equ.
NO,Norway,24  Production of pig iron or steel,2. Verified emissions,2013,91921,tonne of CO2 equ.
NO,Norway,24  Production of pig iron or steel,2. Verified emissions,2017,98803,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1 Freely allocated allowances,2006,681153,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1 Freely allocated allowances,2015,447976,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1.1 Free allocation to existing entities (Art. 10a(1)),2005,681153,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1.1 Free allocation to existing entities (Art. 10a(1)),2013,464198,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1.1 Free allocation to existing entities (Art. 10a(1)),2014,456133,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1.1 Free allocation to existing entities (Art. 10a(1)),2015,447976,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2019,2980,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2023,0,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2019,0,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2023,0,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,2. Verified emissions,2009,566383,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,2. Verified emissions,2016,617960,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,2. Verified emissions,2020,599976,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,2.1 EU-ETS Verified Emission,2013,603575,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,2.1 EU-ETS Verified Emission,2014,613156,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,2.1 EU-ETS Verified Emission,2015,624316,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,4. Total surrendered units,2011,548415,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,4. Total surrendered units,2012,596629,tonne of CO2 equ.
PT,Portugal,31 Manufacture of glass,4.1 Surrendered EU allowances (EUAs and EUAAs),2023,348026,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,1.1 Freely allocated allowances,2011,429573,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,2. Verified emissions,2011,169682,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,2. Verified emissions,2012,130100,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,4. Total surrendered units,2005,793136,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,4. Total surrendered units,2013,545017,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,4. Total surrendered units,2014,488485,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,4. Total surrendered units,2015,491980,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,4.2 Surrendered certified emission reductions (CERs),2010,16962,tonne of CO2 equ.
IT,Italy,24  Production of pig iron or steel,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 4th trading period (21-30),34273692,tonne of CO2 equ.
IT,Italy,24  Production of pig iron or steel,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 4th trading period (21-30),0,tonne of CO2 equ.
PT,Portugal,20-99 All stationary installations,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 4th trading period (21-30),0,tonne of CO2 equ.
PT,Portugal,20-99 All stationary installations,4.1 Surrendered EU allowances (EUAs and EUAAs),Total 4th trading period (21-30),35900450,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,2. Verified emissions,Total 2nd trading period (08-12),30622881,tonne of CO2 equ.
BE,Belgium,21-99 All industrial installations (excl. combustion),4.2 Surrendered certified emission reductions (CERs),Total 2nd trading period (08-12),7645386,tonne of CO2 equ.
BE,Belgium,24  Production of pig iron or steel,4.1 Surrendered EU allowances (EUAs and EUAAs),Total 2nd trading period (08-12),20648323,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,4.2 Surrendered certified emission reductions (CERs),Total 2nd trading period (08-12),118338,tonne of CO2 equ.
BE,Belgium,33 Manufacture of mineral wool,2. Verified emissions,Total 3rd trading period (13-20),405139,tonne of CO2 equ.
BE,Belgium,35 Production of pulp,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),1213762,tonne of CO2 equ.
BE,Belgium,36 Production of paper or cardboard,1.1 Freely allocated allowances,Total 3rd trading period (13-20),3857189,tonne of CO2 equ.
BE,Belgium,36 Production of paper or cardboard,2.1 EU-ETS Verified Emission,Total 3rd trading period (13-20),4829325,tonne of CO2 equ.
CY,Cyprus,20 Combustion of fuels,4. Total surrendered units,Total 3rd trading period (13-20),25009035,tonne of CO2 equ.
CY,Cyprus,20-99 All stationary installations,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),6571653,tonne of CO2 equ.
CY,Cyprus,20-99 All stationary installations,2.1 EU-ETS Verified Emission,Total 3rd trading period (13-20),35536970,tonne of CO2 equ.
PT,Portugal,32 Manufacture of ceramics,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),5420313,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,4. Total surrendered units,Total 3rd trading period (13-20),20959109,tonne of CO2 equ.
SE,Sweden,23 Metal ore roasting or sintering,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),5093412,tonne of CO2 equ.
FI,Finland,29 Production of cement clinker,1.1.1 Free allocation to existing entities (Art. 10a(1)),2017,854546,tonne of CO2 equ.
FI,Finland,29 Production of cement clinker,1.1.1 Free allocation to existing entities (Art. 10a(1)),2018,837547,tonne of CO2 equ.
FI,Finland,29 Production of cement clinker,1.1.1 Free allocation to existing entities (Art. 10a(1)),2021,743702,tonne of CO2 equ.
FI,Finland,29 Production of cement clinker,1.1.1 Free allocation to existing entities (Art. 10a(1)),2022,792105,tonne of CO2 equ.
FI,Finland,29 Production of cement clinker,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2016,0,tonne of CO2 equ.
FI,Finland,29 Production of cement clinker,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2021,0,tonne of CO2 equ.
FI,Finland,29 Production of cement clinker,2. Verified emissions,2015,701990,tonne of CO2 equ.
ES,Spain,44 Production of soda ash and sodium bicarbonate,2. Verified emissions,2005,679329,tonne of CO2 equ.
ES,Spain,44 Production of soda ash and sodium bicarbonate,2. Verified emissions,2019,1142156,tonne of CO2 equ.
ES,Spain,44 Production of soda ash and sodium bicarbonate,2. Verified emissions,2021,1091451,tonne of CO2 equ.
ES,Spain,44 Production of soda ash and sodium bicarbonate,2. Verified emissions,2022,1060602,tonne of CO2 equ.
ES,Spain,44 Production of soda ash and sodium bicarbonate,2.1 EU-ETS Verified Emission,2019,1142156,tonne of CO2 equ.
ES,Spain,44 Production of soda ash and sodium bicarbonate,2.1 EU-ETS Verified Emission,2023,855879,tonne of CO2 equ.
FI,Finland,10 Aviation,1.1.1 Free allocation to existing entities (Art. 10a(1)),2016,465579,tonne of CO2 equ.
FI,Finland,10 Aviation,1.1.1 Free allocation to existing entities (Art. 10a(1)),2020,504434,tonne of CO2 equ.
FI,Finland,10 Aviation,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2015,0,tonne of CO2 equ.
FI,Finland,10 Aviation,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2020,0,tonne of CO2 equ.
FI,Finland,10 Aviation,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2013,0,tonne of CO2 equ.
FI,Finland,10 Aviation,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2014,0,tonne of CO2 equ.
FI,Finland,10 Aviation,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2015,0,tonne of CO2 equ.
FI,Finland,10 Aviation,2.1 EU-ETS Verified Emission,2019,1252207,tonne of CO2 equ.
FI,Finland,10 Aviation,2.1 EU-ETS Verified Emission,2023,1024625,tonne of CO2 equ.
FI,Finland,10 Aviation,4. Total surrendered units,2017,1051965,tonne of CO2 equ.
FI,Finland,10 Aviation,4. Total surrendered units,2018,1170188,tonne of CO2 equ.
FI,Finland,10 Aviation,4. Total surrendered units,2021,340489,tonne of CO2 equ.
FI,Finland,10 Aviation,4. Total surrendered units,2022,956255,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,1.1 Freely allocated allowances,2014,7948188,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,1.1 Freely allocated allowances,2015,6658843,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2019,0,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2023,0,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,2.1 EU-ETS Verified Emission,2011,21293899,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,2.1 EU-ETS Verified Emission,2012,17342376,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4. Total surrendered units,2006,29621478,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4. Total surrendered units,2009,19945212,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4. Total surrendered units,2011,18670036,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4. Total surrendered units,2020,8365924,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4.1 Surrendered EU allowances (EUAs and EUAAs),2008,27784187,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4.1 Surrendered EU allowances (EUAs and EUAAs),2010,22800678,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4.1 Surrendered EU allowances (EUAs and EUAAs),2021,8387013,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4.1 Surrendered EU allowances (EUAs and EUAAs),2022,8238763,tonne of CO2 equ.
FI,Finland,20 Combustion of fuels,4.3 Surrendered emission reduction units (ERUs),2009,131020,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,1.1 Freely allocated allowances,2019,26433,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,1.1 Freely allocated allowances,2023,23659,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,1.1 Freely allocated allowances,2024,23659,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2019,5881,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2023,0,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2013,0,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2017,0,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2018,0,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,2. Verified emissions,2009,28705,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,2. Verified emissions,2016,37747,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,2. Verified emissions,2020,42189,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,2.1 EU-ETS Verified Emission,2013,33202,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,2.1 EU-ETS Verified Emission,2014,33296,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,2.1 EU-ETS Verified Emission,2015,37065,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,4. Total surrendered units,2008,30295,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,4. Total surrendered units,2010,30162,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,4.1 Surrendered EU allowances (EUAs and EUAAs),2011,30567,tonne of CO2 equ.
NO,Norway,31 Manufacture of glass,4.2 Surrendered certified emission reductions (CERs),2012,20251,tonne of CO2 equ.
NO,Norway,32 Manufacture of ceramics,2. Verified emissions,2011,31530,tonne of CO2 equ.
NO,Norway,32 Manufacture of ceramics,2. Verified emissions,2012,29691,tonne of CO2 equ.
NO,Norway,32 Manufacture of ceramics,4. Total surrendered units,2009,29945,tonne of CO2 equ.
NO,Norway,32 Manufacture of ceramics,4. Total surrendered units,2016,34712,tonne of CO2 equ.
NO,Norway,32 Manufacture of ceramics,4. Total surrendered units,2019,43142,tonne of CO2 equ.
NO,Norway,32 Manufacture of ceramics,4.1 Surrendered EU allowances (EUAs and EUAAs),2022,32408,tonne of CO2 equ.
NO,Norway,33 Manufacture of mineral wool,1.1 Freely allocated allowances,2013,40895,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,2. Verified emissions,2016,19884726,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,2. Verified emissions,2020,16705579,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,2.1 EU-ETS Verified Emission,2013,20143270,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,2.1 EU-ETS Verified Emission,2014,19326501,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,2.1 EU-ETS Verified Emission,2018,19999943,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,2.1 EU-ETS Verified Emission,2022,17657586,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,4.1 Surrendered EU allowances (EUAs and EUAAs),2008,19509068,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,4.1 Surrendered EU allowances (EUAs and EUAAs),2020,16524601,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2013,0,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2014,0,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2015,0,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2013,0,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2014,0,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2015,0,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,2. Verified emissions,2010,2957670,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,2. Verified emissions,2017,2859499,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,2. Verified emissions,2018,3018719,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,4. Total surrendered units,2008,3018116,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,4. Total surrendered units,2019,2281280,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,4. Total surrendered units,2021,3443099,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,4. Total surrendered units,2022,2671892,tonne of CO2 equ.
SE,Sweden,21  Refining of mineral oil,4.1 Surrendered EU allowances (EUAs and EUAAs),2011,2847035,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),1.1 Freely allocated allowances,2011,18239800,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),2. Verified emissions,2011,12260729,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),2. Verified emissions,2012,11345961,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),2.1 EU-ETS Verified Emission,2006,12627648,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),4. Total surrendered units,2005,12293062,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),4. Total surrendered units,2013,11067581,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),4. Total surrendered units,2014,11178495,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),4. Total surrendered units,2015,11628241,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),4.2 Surrendered certified emission reductions (CERs),2010,181124,tonne of CO2 equ.
SE,Sweden,21-99 All industrial installations (excl. combustion),4.3 Surrendered emission reduction units (ERUs),2011,12084,tonne of CO2 equ.
DK,Denmark,24  Production of pig iron or steel,1.1 Freely allocated allowances,Total 2nd trading period (08-12),18410,tonne of CO2 equ.
DK,Denmark,32 Manufacture of ceramics,2. Verified emissions,Total 2nd trading period (08-12),926516,tonne of CO2 equ.
DK,Denmark,32 Manufacture of ceramics,4.2 Surrendered certified emission reductions (CERs),Total 2nd trading period (08-12),66376,tonne of CO2 equ.
XI,Northern Ireland,20-99 All stationary installations,1.1 Freely allocated allowances,Total 1st trading period (05-07),14179482,tonne of CO2 equ.
AT,Austria,10 Aviation,1.1 Freely allocated allowances,Total 2nd trading period (08-12),1932411,tonne of CO2 equ.
CZ,Czechia,20-99 All stationary installations,1.1 Freely allocated allowances,Total 3rd trading period (13-20),278599212,tonne of CO2 equ.
CZ,Czechia,20-99 All stationary installations,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),Total 3rd trading period (13-20),2805206,tonne of CO2 equ.
CZ,Czechia,20-99 All stationary installations,3. Estimate to reflect current ETS scope for allowances and emissions,Total 3rd trading period (13-20),-135381,tonne of CO2 equ.
SE,Sweden,29 Production of cement clinker,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),Total 3rd trading period (13-20),0,tonne of CO2 equ.
SE,Sweden,29 Production of cement clinker,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 3rd trading period (13-20),0,tonne of CO2 equ.
SE,Sweden,29 Production of cement clinker,4.1 Surrendered EU allowances (EUAs and EUAAs),Total 3rd trading period (13-20),1900811,tonne of CO2 equ.
SE,Sweden,"30 Production of lime, or calcination of dolomite/magnesite",1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),4816943,tonne of CO2 equ.
SE,Sweden,32 Manufacture of ceramics,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),394824,tonne of CO2 equ.
SE,Sweden,32 Manufacture of ceramics,2.1 EU-ETS Verified Emission,Total 3rd trading period (13-20),322389,tonne of CO2 equ.
SE,Sweden,34 Production or processing of gypsum or plasterboard,4. Total surrendered units,Total 3rd trading period (13-20),176237,tonne of CO2 equ.
RO,Romania,31 Manufacture of glass,2. Verified emissions,Total 4th trading period (21-30),651315,tonne of CO2 equ.
RO,Romania,31 Manufacture of glass,2.1 EU-ETS Verified Emission,Total 4th trading period (21-30),651315,tonne of CO2 equ.
RO,Romania,34 Production or processing of gypsum or plasterboard,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),Total 4th trading period (21-30),0,tonne of CO2 equ.
RO,Romania,34 Production or processing of gypsum or plasterboard,4. Total surrendered units,Total 4th trading period (21-30),67092,tonne of CO2 equ.
RO,Romania,36 Production of paper or cardboard,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 4th trading period (21-30),627983,tonne of CO2 equ.
RO,Romania,42 Production of bulk chemicals,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),Total 4th trading period (21-30),0,tonne of CO2 equ.
RO,Romania,42 Production of bulk chemicals,4. Total surrendered units,Total 4th trading period (21-30),200549,tonne of CO2 equ.
RO,Romania,43 Production of hydrogen and synthesis gas,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),Total 4th trading period (21-30),0,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 4th trading period (21-30),68169098,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),Total 4th trading period (21-30),0,tonne of CO2 equ.
FI,Finland,24  Production of pig iron or steel,4. Total surrendered units,2015,4695632,tonne of CO2 equ.
FI,Finland,25 Production or processing of ferrous metals,1.1 Freely allocated allowances,2006,8231,tonne of CO2 equ.
FI,Finland,25 Production or processing of ferrous metals,1.1 Freely allocated allowances,2009,7340,tonne of CO2 equ.
FI,Finland,25 Production or processing of ferrous metals,1.1 Freely allocated allowances,2011,7340,tonne of CO2 equ.
FI,Finland,25 Production or processing of ferrous metals,1.1 Freely allocated allowances,2020,83558,tonne of CO2 equ.
