country_code,country,main activity sector name,ETS information,year,value,unit
DE,Germany,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2021,225418915,tonne of CO2 equ.
DK,Denmark,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,37303720,tonne of CO2 equ.
NER300,NER 300 auctions,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2019,0,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,22573139,tonne of CO2 equ.
NO,Norway,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2008,7538168,tonne of CO2 equ.
GB,United Kingdom (excl. NI),20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2011,249381937,tonne of CO2 equ.
LT,Lithuania,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2022,5885832,tonne of CO2 equ.
LI,Liechtenstein,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2017,1241,tonne of CO2 equ.
NL,Netherlands,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2019,60603266,tonne of CO2 equ.
SE,Sweden,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2020,24287269,tonne of CO2 equ.
XI,Northern Ireland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2009,4402616,tonne of CO2 equ.
NL,Netherlands,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2007,86476714,tonne of CO2 equ.
GR,Greece,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2014,36668144,tonne of CO2 equ.
LI,Liechtenstein,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2007,0,tonne of CO2 equ.
RO,Romania,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2019,51362615,tonne of CO2 equ.
DK,Denmark,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2008,23906250,tonne of CO2 equ.
RO,Romania,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,0,tonne of CO2 equ.
GR,Greece,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2012,73950733,tonne of CO2 equ.
HU,Hungary,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2016,22240192,tonne of CO2 equ.
LU,Luxembourg,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,3229321,tonne of CO2 equ.
NO,Norway,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,0,tonne of CO2 equ.
PT,Portugal,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2010,32359066,tonne of CO2 equ.
CY,Cyprus,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2018,3793480,tonne of CO2 equ.
DE,Germany,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2005,493482295,tonne of CO2 equ.
FI,Finland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2008,36530616,tonne of CO2 equ.
IS,Iceland,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2023,1723704,tonne of CO2 equ.
