notice_id,ocid,contract_id,country,country_name,year,dispatch_date,award_date,tender_date,month,quarter,time_to_award_days,value_eur,value_usd,estimated_value_eur,value_local,currency_local,procedure_type,procurement_method,procurement_method_details,contract_type,is_framework,is_dps,buyer_id,buyer_name,buyer_address,buyer_city,buyer_postal_code,buyer_type,main_activity,supplier_id,supplier_name,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_is_sme,n_bidders,n_bidders_sme,n_bidders_other_eu,n_bidders_non_eu,n_bidders_electronic,single_bidder,competitive,cpv_code,cpv_main,cpv_division,cpv_group,cpv_additional,nuts_code,gpa_covered,lot_number,lots_total,contract_number,contract_title,award_id,award_criteria,price_weight,info_non_award,awarded_to_group,flag_cancelled,flag_correction,flag_missing_value,flag_missing_dates,data_source
2022579173,ocds-ted-eu-2022579173,2022579173-52,RO,Romania,2018,2022-10-17 00:00:00,NaT,2022-10-17 00:00:00,10,4,nan,3271.22,3860.0395999999996,,3271.22,EUR,Open,open,OPE,Supplies,False,False,4367728,SPITALUL DE PSIHIATRIE TULGHES,"Strada: Principala, nr. 34.",Tulghes,537330,Public undertaking,Health,nan,nan,nan,nan,nan,nan,False,,,,,,None,None,33600000,33600,33,336,33690000,RO124,False,52,46.0,nan,nan,15034062.0,Lowest price,,PROCUREMENT_UNSUCCESSFUL,False,False,False,False,True,EU_TED
2023419970,ocds-ted-eu-2023419970,2023419970-115,RO,Romania,2023,2023-07-07 00:00:00,2023-03-22 00:00:00,2023-07-07 00:00:00,7,3,nan,4764.71,5145.8868,4764.71,4764.71,EUR,Open,open,OPE,Supplies,False,False,4426352,Spitalul Clinic de Urgenta pentru Copii Cluj-Napoca,"Strada: Moţilor, nr. 68",Cluj-Napoca,400370,Central government,Health,RO 8955860,ALLIANCE HEALTHCARE ROMANIA,"Strada Săndulescu C. Amilcar, Nr. 7",Bucuresti,060859,RO,False,42.0,3.0,0.0,0.0,42.0,False,True,33690000,33690,33,336,33651100,RO113,False,115,75.0,55/160,Contract subsecvent,16297314.0,Lowest price,,nan,False,False,False,False,False,EU_TED
,ocds-ted-eu-569814,-1,RO,Romania,2022,2022-06-08 00:00:00,None,2022-06-08 00:00:00,6,2,None,982726.61,1031862.9405,,982726.61,EUR,Open,open,OPE,Services,True,False,7549660,SERVICIUL JUDETEAN DE AMBULANTA ARGES,"Strada: Aslan Ana, doctor, nr. 1",Pitesti,110283,Central government,Health,,,,,,,False,,,,,,None,None,50110000,50110,50,501,50110000,RO311,False,1,7.0,,,,Most economically advantageous,70.0,,False,False,False,False,True,EU_TED
,ocds-ted-eu-757295,-196,RO,Romania,2019,2019-07-23 00:00:00,None,2019-07-23 00:00:00,7,3,None,1493529.72,1672753.2864,,1493529.72,EUR,Open,open,OPE,Supplies,True,False,4203490,Spitalul Clinic „Dr. I. Cantacuzino”,Str. Ion Movilă nr. 5-7,Bucureşti,73206,Utilities,Health,,,,,,,False,,,,,,None,None,33600000,33600,33,336,33692400,RO321,False,196,219.0,,,,Lowest price,,,False,False,False,False,True,EU_TED
2015309614,ocds-ted-eu-2015309614,2015309614-nan,UK,United Kingdom,2015,None,None,None,None,None,None,3170120.14,3518833.3554000002,,3170120.14,EUR,Open,open,OPE,Supplies,True,False,nan,University Of Edinburgh,Charles Stewart House; 9-16 Chambers Street,Edinburgh,EH1 1HT,Public undertaking,Education;Other,nan,Cambridge Bioscience Ltd,Munro House; Trafalgar Way; Bar Hill,Cambridge,CB23 8SQ,UK,False,26.0,,,,,False,True,33140000,33140,33,331,nan,UKM25,True,nan,5.0,nan,Molecular Biology Kits,6999712.0,Most economically advantageous,,nan,False,False,False,False,True,EU_TED
201327303,ocds-ted-eu-201327303,201327303-nan,PL,Poland,2013,None,None,None,None,None,None,91131.87,121205.3871,105883.13,91131.87,EUR,Open,open,OPE,Supplies,False,False,nan,Wielkopolskie Centrum Onkologii,ul. Garbary 15,Poznań,61-866,Public undertaking,Health,nan,GSK SERVICES SP. Z O. O.,ul. Grunwaldzka 19,Poznań,60-322,PL,False,1.0,,,,,True,False,33652100.0,33652,33,336,nan,nan,False,nan,57.0,nan,Hycamptin,5541983.0,Lowest price,100.0,nan,False,False,False,False,True,EU_TED
,ocds-ted-eu-225818,-55,PL,Poland,2017,2017-05-09 00:00:00,None,2017-05-09 00:00:00,5,2,None,,,,,EUR,Open,open,OPE,Supplies,False,False,None,Samodzielny Publiczny Specjalistyczny Zakład Opieki Zdrowotnej „Zdroje”,ul. Mączna 4,Szczecin,70-780,Public undertaking,Health,,,,,,,False,,,,,,None,None,33140000.0,33140,33,331,33600000,PL424,False,55,98.0,,,,Lowest price,,,False,False,True,True,True,EU_TED
,ocds-ted-eu-1204344,-125,PL,Poland,2018,2018-05-18 00:00:00,None,2018-05-18 00:00:00,5,2,None,,,,,EUR,Open,open,OPE,Supplies,False,False,None,Dolnośląskie Centrum Onkologii we Wrocławiu,pl. Hirszfelda 12,Wrocław,53-413,Public undertaking,Health,,,,,,,False,,,,,,None,None,33000000.0,33000,33,330,33000000,PL514,False,125,128.0,,,,Lowest price,,,False,False,False,True,True,EU_TED
2012202466,ocds-ted-eu-2012202466,2012202466-nan,PL,Poland,2012,None,None,None,None,None,None,29061.85,37489.7865,33183.22,29061.85,EUR,Open,open,OPE,Supplies,False,False,nan,Uniwersytet Szczeciński,al. Papieża Jana Pawła II Nr 31,Szczecin,70-453,Public undertaking,Education,nan,BIO-RAD Polska Sp. z o.o.,ul. Nakielska 3,Warszawa,01-106,PL,False,1.0,,,,,True,False,38000000.0,38000,38,380,nan,nan,True,nan,5.0,1,Dostawa wyposażenia laboratoryjnego dla laboratoriów Wydziału Biologii US na potrzeby projektu Centrum Biologii Molekularnej i Biotechnologii współfinansowanego przez Unię Europejską w ramach Europejskiego Funduszu Rozwoju Regionalnego.,5183693.0,Lowest price,100.0,nan,False,False,False,False,True,EU_TED
,ocds-ted-eu-209165,-131,IT,Italy,2021,2021-03-02 00:00:00,None,2021-03-02 00:00:00,3,1,None,33977860.0,40093874.8,,33977860.0,EUR,Open,open,OPE,Supplies,False,False,None,Dipartimento stazione unica appaltante SUA-RB della Regione Basilicata,via Vincenzo Verrastro 4,Potenza,85100,Body governed by public law,General public\services,,,,,,,False,,,,,,None,None,33190000,33190,33,331,33190000,ITF5,False,131,162.0,,,,None,,,False,False,False,False,True,EU_TED
