country,nace,year,ghg_tht,gva_meur,intensity_kg_eur
AT,K64,2020,51.59447,9310.9,0.005541
AT,K64,2021,49.73246,9995.2,0.004976
AT,K64,2022,55.32954,12064.9,0.004586
AT,K64,2023,52.17214,15232.3,0.003425
AT,K65,2012,11.79234,2810.2,0.004196
AT,K65,2013,11.80146,2965.9,0.003979
AT,K65,2014,11.37139,2727.3,0.004169
AT,K65,2015,11.47932,3005.3,0.003820
AT,K65,2016,11.76168,3130.0,0.003758
AT,K65,2017,11.79094,3396.4,0.003472
AT,K65,2018,15.36655,3609.9,0.004257
AT,K65,2019,16.24328,3803.8,0.004270
AT,K65,2020,15.98421,3712.6,0.004305
AT,K65,2021,17.05137,4356.0,0.003914
AT,K65,2022,19.4436,4183.6,0.004648
AT,K65,2023,19.83656,4435.6,0.004472
AT,K66,2012,10.85324,1304.8,0.008318
AT,K66,2013,10.21898,1322.7,0.007726
AT,K66,2014,6.4956,1247.3,0.005208
AT,K66,2015,4.8473,1432.1,0.003385
AT,K66,2016,4.52567,1480.2,0.003057
AT,K66,2017,5.27975,1474.8,0.003580
AT,K66,2018,6.69411,1392.8,0.004806
AT,K66,2019,8.17275,1485.0,0.005504
AT,K66,2020,8.67308,1635.5,0.005303
AT,K66,2021,5.51633,2380.8,0.002317
AT,K66,2022,6.3525,1953.5,0.003252
AT,K66,2023,6.47559,2101.5,0.003081
AT,L,2012,28.35939,25436.7,0.001115
AT,L,2013,25.79874,26676.5,0.000967
AT,L,2014,22.83975,27715.8,0.000824
AT,L,2015,25.40837,28934.9,0.000878
AT,L,2016,29.57847,30097.2,0.000983
AT,L,2017,60.11386,31749.8,0.001893
AT,L,2018,55.14209,33180.2,0.001662
AT,L,2019,52.11346,34265.4,0.001521
AT,L,2020,55.54593,35353.5,0.001571
AT,L,2021,48.81881,35461.4,0.001377
AT,L,2022,58.43964,36487.1,0.001602
AT,L,2023,60.11081,40253.1,0.001493
AT,M,2012,223.98781,13994.3,0.016006
AT,M,2013,206.64353,14567.6,0.014185
AT,M,2014,174.63477,15031.1,0.011618
AT,M,2015,177.49492,16029.9,0.011073
AT,M,2016,188.59861,16931.0,0.011139
AT,M,2017,177.12198,17561.1,0.010086
AT,M,2018,209.10657,18323.3,0.011412
AT,M,2019,202.39286,19714.5,0.010266
AT,M,2020,216.29787,19530.8,0.011075
AT,M,2021,220.10315,20966.3,0.010498
AT,M,2022,264.78935,22869.8,0.011578
AT,M,2023,270.69397,23957.9,0.011299
AT,M69_M70,2012,74.38219,7381.3,0.010077
AT,M69_M70,2013,67.29077,7381.7,0.009116
AT,M69_M70,2014,50.85655,7827.6,0.006497
AT,M69_M70,2015,53.37547,8296.1,0.006434
AT,M69_M70,2016,86.08948,8914.4,0.009657
AT,M69_M70,2017,62.09782,9074.9,0.006843
AT,M69_M70,2018,67.16189,9269.6,0.007245
AT,M69_M70,2019,63.33623,9936.8,0.006374
AT,M69_M70,2020,67.01233,10040.9,0.006674
AT,M69_M70,2021,57.77343,10848.3,0.005326
AT,M69_M70,2022,67.80462,11694.6,0.005798
AT,M69_M70,2023,68.47408,12259.6,0.005585
AT,M71,2012,53.56821,3763.2,0.014235
AT,M71,2013,49.47431,4079.2,0.012128
AT,M71,2014,44.64673,4173.2,0.010698
AT,M71,2015,41.89404,4332.6,0.009669
AT,M71,2016,23.11073,4395.6,0.005258
AT,M71,2017,27.33687,4495.3,0.006081
AT,M71,2018,37.21842,4851.1,0.007672
AT,M71,2019,32.70675,5273.8,0.006202
AT,M71,2020,34.6735,5343.2,0.006489
AT,M71,2021,31.18787,5444.8,0.005728
AT,M71,2022,36.84523,6062.7,0.006077
AT,M71,2023,37.28311,6124.9,0.006087
AT,M72,2012,10.45363,801.6,0.013041
AT,M72,2013,9.52343,1035.6,0.009196
AT,M72,2014,7.44414,959.0,0.007762
AT,M72,2015,9.59154,1131.0,0.008481
AT,M72,2016,9.37547,1279.2,0.007329
AT,M72,2017,13.11582,1521.4,0.008621
AT,M72,2018,9.4634,1556.8,0.006079
AT,M72,2019,6.89351,1689.5,0.004080
AT,M72,2020,6.99496,1617.3,0.004325
AT,M72,2021,8.1992,1851.5,0.004428
AT,M72,2022,8.92913,1982.3,0.004504
AT,M72,2023,8.54766,2172.9,0.003934
AT,M73,2012,23.42988,1325.9,0.017671
AT,M73,2013,19.21619,1360.9,0.014120
AT,M73,2014,13.80937,1359.5,0.010158
AT,M73,2015,14.20993,1485.9,0.009563
AT,M73,2016,10.48954,1492.9,0.007026
AT,M73,2017,11.9678,1581.9,0.007565
AT,M73,2018,18.90178,1678.7,0.011260
AT,M73,2019,10.78029,1715.5,0.006284
AT,M73,2020,10.94065,1518.0,0.007207
AT,M73,2021,9.74515,1713.0,0.005689
AT,M73,2022,11.12725,1903.2,0.005847
AT,M73,2023,11.15484,2004.3,0.005565
AT,M74_M75,2012,62.15389,722.3,0.086050
AT,M74_M75,2013,61.13883,710.1,0.086099
AT,M74_M75,2014,57.87798,711.7,0.081324
AT,M74_M75,2015,58.42394,784.3,0.074492
AT,M74_M75,2016,59.53339,848.8,0.070138
AT,M74_M75,2017,62.60366,887.5,0.070539
AT,M74_M75,2018,76.36108,967.1,0.078959
AT,M74_M75,2019,88.67607,1099.0,0.080688
AT,M74_M75,2020,96.67644,1011.4,0.095587
AT,M74_M75,2021,113.1975,1108.8,0.102090
AT,M74_M75,2022,140.08311,1226.9,0.114176
AT,M74_M75,2023,145.23428,1396.1,0.104029
AT,N,2012,357.39695,11803.6,0.030279
AT,N,2013,354.15537,12122.1,0.029216
AT,N,2014,336.66597,12615.6,0.026686
AT,N,2015,303.04158,12923.7,0.023449
AT,N,2016,276.86596,13580.4,0.020387
AT,N,2017,311.85231,14611.9,0.021342
AT,N,2018,362.20966,15386.3,0.023541
AT,N,2019,389.77406,16154.8,0.024127
AT,N,2020,418.62258,14648.5,0.028578
AT,N,2021,438.81138,15829.0,0.027722
AT,N,2022,532.16781,17630.6,0.030184
AT,N,2023,544.12082,18693.3,0.029108
AT,N77,2012,126.50279,3660.0,0.034564
AT,N77,2013,125.31621,3660.6,0.034234
AT,N77,2014,120.92198,3772.6,0.032053
AT,N77,2015,119.98,3820.6,0.031403
AT,N77,2016,124.84711,3942.5,0.031667
AT,N77,2017,138.30788,4241.9,0.032605
AT,N77,2018,174.97894,4380.1,0.039949
AT,N77,2019,198.04604,4566.7,0.043367
AT,N77,2020,214.3721,4575.2,0.046855
AT,N77,2021,249.5443,4624.5,0.053961
AT,N77,2022,306.01578,4892.3,0.062550
AT,N77,2023,316.29457,5328.7,0.059357
AT,N78,2012,21.23642,3107.5,0.006834
AT,N78,2013,21.08155,3138.8,0.006716
AT,N78,2014,19.6988,3268.2,0.006027
AT,N78,2015,13.94228,3306.9,0.004216
AT,N78,2016,10.66553,3569.0,0.002988
AT,N78,2017,16.62533,4056.3,0.004099
AT,N78,2018,14.93979,4401.6,0.003394
AT,N78,2019,13.8102,4470.2,0.003089
AT,N78,2020,14.23691,3876.1,0.003673
AT,N78,2021,17.69766,4579.2,0.003865
AT,N78,2022,20.18821,5135.8,0.003931
AT,N78,2023,19.41207,5126.8,0.003786
AT,N79,2012,50.46701,653.0,0.077285
AT,N79,2013,50.08444,630.4,0.079449
AT,N79,2014,48.25401,599.0,0.080558
AT,N79,2015,39.20866,611.4,0.064129
AT,N79,2016,22.3865,570.1,0.039268
AT,N79,2017,29.35338,577.5,0.050828
AT,N79,2018,35.8956,589.7,0.060871
AT,N79,2019,38.458,620.1,0.062019
AT,N79,2020,41.58708,233.9,0.177799
AT,N79,2021,26.26614,247.3,0.106212
AT,N79,2022,31.83704,541.4,0.058805
AT,N79,2023,32.36388,683.2,0.047371
AT,N80-N82,2012,159.19074,4383.1,0.036319
AT,N80-N82,2013,157.67316,4692.3,0.033603
AT,N80-N82,2014,147.79118,4975.8,0.029702
AT,N80-N82,2015,129.91062,5184.9,0.025056
AT,N80-N82,2016,118.96682,5498.9,0.021635
AT,N80-N82,2017,127.56573,5736.2,0.022239
AT,N80-N82,2018,136.39533,6014.8,0.022677
AT,N80-N82,2019,139.45981,6497.7,0.021463
AT,N80-N82,2020,148.42649,5963.2,0.024890
AT,N80-N82,2021,145.30327,6378.0,0.022782
AT,N80-N82,2022,174.12678,7061.2,0.024660
AT,N80-N82,2023,176.05031,7554.5,0.023304
AT,O,2012,527.2587,15196.3,0.034697
AT,O,2013,512.6237,15274.0,0.033562
AT,O,2014,502.41522,15538.2,0.032334
AT,O,2015,520.28117,16010.6,0.032496
AT,O,2016,555.93646,16437.4,0.033821
AT,O,2017,608.22783,16847.2,0.036103
AT,O,2018,473.54549,17377.5,0.027250
AT,O,2019,414.09436,17875.3,0.023166
AT,O,2020,419.89334,18402.3,0.022817
AT,O,2021,514.81175,19053.8,0.027019
AT,O,2022,366.51184,19790.5,0.018520
AT,O,2023,511.75359,21286.8,0.024041
AT,P,2012,65.27874,15473.8,0.004219
AT,P,2013,65.96769,15558.0,0.004240
AT,P,2014,63.70919,15879.6,0.004012
AT,P,2015,64.70063,16471.9,0.003928
AT,P,2016,66.05315,17002.5,0.003885
AT,P,2017,69.99785,17436.0,0.004015
AT,P,2018,76.14098,18054.2,0.004217
AT,P,2019,83.87794,18742.1,0.004475
AT,P,2020,85.12062,18984.3,0.004484
AT,P,2021,96.34201,19808.4,0.004864
AT,P,2022,109.72891,20816.5,0.005271
AT,P,2023,111.40579,22645.2,0.004920
AT,Q,2012,271.32861,19712.6,0.013764
AT,Q,2013,284.99326,20481.1,0.013915
AT,Q,2014,227.05228,21248.4,0.010686
AT,Q,2015,235.69238,22487.2,0.010481
AT,Q,2016,168.71891,23656.8,0.007132
AT,Q,2017,130.67005,24643.5,0.005302
AT,Q,2018,171.40161,25711.8,0.006666
AT,Q,2019,243.44523,26894.9,0.009052
AT,Q,2020,245.28225,27508.5,0.008917
AT,Q,2021,203.62757,29892.0,0.006812
AT,Q,2022,219.45745,31134.9,0.007049
AT,Q,2023,192.45904,33764.0,0.005700
AT,Q86,2012,256.66565,14964.3,0.017152
AT,Q86,2013,269.83839,15437.4,0.017480
AT,Q86,2014,211.70341,16028.4,0.013208
AT,Q86,2015,219.71071,16818.3,0.013064
AT,Q86,2016,152.15347,17603.2,0.008644
AT,Q86,2017,108.03781,18263.5,0.005916
AT,Q86,2018,130.64545,19075.8,0.006849
AT,Q86,2019,193.64703,19936.1,0.009713
AT,Q86,2020,194.43266,20424.1,0.009520
AT,Q86,2021,171.2598,22372.4,0.007655
AT,Q86,2022,185.72435,23210.6,0.008002
AT,Q86,2023,162.74445,25036.8,0.006500
AT,Q87_Q88,2012,14.66296,4748.3,0.003088
AT,Q87_Q88,2013,15.15488,5043.8,0.003005
AT,Q87_Q88,2014,15.34887,5220.0,0.002940
AT,Q87_Q88,2015,15.98167,5668.9,0.002819
AT,Q87_Q88,2016,16.56545,6053.6,0.002736
AT,Q87_Q88,2017,22.63224,6380.0,0.003547
AT,Q87_Q88,2018,40.75616,6636.1,0.006142
AT,Q87_Q88,2019,49.7982,6958.8,0.007156
AT,Q87_Q88,2020,50.8496,7084.4,0.007178
AT,Q87_Q88,2021,32.36777,7519.6,0.004304
AT,Q87_Q88,2022,33.7331,7924.4,0.004257
AT,Q87_Q88,2023,29.7146,8727.2,0.003405
