nkey,emis_t,n_install,nace,example_eutl,n_contracts,sb_rate,cpv,example_proc,log_emis
HORIZON AVIATION,34.0,1,51,Horizon Aviation Ltd,4,0.5,80,Horizon Aviation,3.5263605246161616
HOSPICES CIVILS DE LYON,2444.6666666666665,1,86,HOSPICES CIVILS DE LYON,38,0.0,85,Hospices Civils de Lyon,7.801664059963161
HOSPITAL UNIVERSITARIO LA PAZ,10222.0,1,86,Hospital Universitario La Paz,98,0.0,na,"Hospital Universitario ""La Paz""",9.232297539328226
HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,12235.75,2,86,Hull University Teaching Hospitals NHS Trust,5,0.0,85,Hull University Teaching Hospitals NHS Trust,9.412117273548501
HUTA BANKOWA SP Z O O,21770.444444444445,1,24,Huta Bankowa Sp. z o.o.,5,0.6,14,Huta Bankowa Sp. z o.o.,9.9883085694747
HUTCHINSON,12259.7,2,22,SNC HUTCHINSON,52,0.09615384615384616,35,hutchinson,9.414072739370257
IBM BELGIUM,189.4,2,,IBM Belgium,18,0.5,72,IBM Belgium SA,5.243861180751978
ICELANDAIR EHF,330287.8333333333,1,51,Icelandair ehf.,32,0.125,60,Icelandair ehf.,12.707719775500125
IDEX ENERGIES,56489.1,4,35,IDEX ENERGIES,1360,0.09485294117647058,50,Idex Energies,10.941802978169024
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,19845.0,2,86,Imperial College Healthcare NHS Trust,16,0.25,85,Imperial College Healthcare NHS Trust,9.895707365217167
INA D D,1271659.2222222222,4,19,INA d.d.,14,0.6428571428571429,91,INA d.d.,14.055833079930697
INA MAZIVA D O O,2009.0,1,19,INA MAZIVA d.o.o.,72,0.4722222222222222,92,Ina maziva d.o.o.,7.605392364814935
INALCA S P A,19227.0,1,10,INALCA S.p.A.,10,1.0,15,Inalca S.p.A.,9.864070820172337
INBEV BELGIUM,48400.0,2,11,InBev Belgium,56,0.07142857142857142,15,Inbev SA Belgium,10.787255092704724
INDUSTRIAL CHEMICALS,11203.5,1,20,Industrial Chemicals Ltd,39,0.0,24,Industrial Chemicals Ltd,9.32398150846523
INDUSTRIAS L CTEAS ASTURIANAS S A,132506.2,1,35,"Industrias Lácteas Asturianas, S.A.",22,0.22727272727272727,15,Industrias Lácteas Asturianas; S.A.,11.794384715766512
INEX,9469.0,1,10,INEX,20,0.0,45,INEX ΙΑΤΡΙΚΑ Α.Ε,9.1557785839835
INFRA F RTH,4830.6,1,35,infra fürth gmbh,11,0.6363636363636364,65,infra Fürth GmbH,8.48272596253399
INFRASERV H CHST,925617.7,1,35,Infraserv GmbH & Co. Höchst KG,10,0.4,90,Infraserv GmbH & Co. Höchst KG,13.738216577409968
INNOGY,924.0,1,35,innogy SE,59,0.3050847457627119,32,innogy SE,6.828712071641684
INNOGY ENERGO S R O,64541.55714285714,2,35,"innogy Energo, s.r.o.",11,0.5454545454545454,93,"Innogy Energo, s.r.o.",11.075064592102281
INNOSPEC,13305.555555555555,1,20,Innospec Limited,3,0.0,24,Innospec limited,9.495936937936943
INSTITUCI N FERIAL DE MADRID,2129.5,1,,INSTITUCIÓN FERIAL DE MADRID,22,1.0,79,Institución Ferial de Madrid,7.663642489363268
INSTITUTE,145.33333333333334,1,51,SAS Institute,169,0.7159763313609467,72,SAS Institute srl,4.979029954680925
IREN AMBIENTE S P A,8406.222222222223,1,35,Iren Ambiente S.p.A.,54,0.8148148148148148,90,Iren Ambiente S.p.A.,9.036727451359129
IREN ENERGIA S P A,3017647.677777778,16,35,Iren Energia S.p.A.,4,0.5,72,IREN Energia S.p.A.,14.919988171196305
ISCAL SUGAR,46715.7,1,10,ISCAL Sugar,4,1.0,15,ISCAL Sugar NV,10.75183557559515
ISKRA D D,1567.0,1,27,"Iskra, d.d.",15,0.6666666666666666,50,Iskra; d.d.,7.356918242356021
ISTITUTO POLIGRAFICO E ZECCA DELLO STATO S P A,7775.0,1,17,ISTITUTO POLIGRAFICO E ZECCA DELLO STATO S.P.A.,9,0.1111111111111111,18,Istituto Poligrafico e Zecca dello Stato S.p.A.,8.958668737047434
ISTRABENZ PLINI D O O,3297.0,1,68,Istrabenz plini d.o.o.,16,0.375,24,Istrabenz plini d.o.o.,8.10076824307173
IVECO CZECH REPUBLIC A S,14618.0,1,29,"Iveco Czech Republic, a. s.",97,0.5154639175257731,34,Iveco Czech Republic; a. s.,9.590008925040337
IVECO ESPA A S L,7145.4,2,29,"IVECO ESPAÑA, S.L.",223,0.4170403587443946,34,Iveco España; S.L.,8.874224072002004
J MTKRAFT,19587.092063492062,11,35,Jämtkraft AB,4,0.25,93,Jämtkraft AB,9.882626060078142
J NK PING ENERGI,69123.08730158731,16,35,Jönköping Energi AB,3,0.0,90,Jönköping Energi AB,11.143644068302025
JACOBS DOUWE EGBERTS DE,44298.5,2,35,JACOBS DOUWE EGBERTS DE GmbH,35,0.34285714285714286,15,JACOBS DOUWE EGBERTS DE GmbH,10.698706095414815
JAGUAR LAND ROVER,129967.22222222222,4,29,Jaguar Land Rover Limited,377,0.005305039787798408,34,Jaguar Land Rover Limited,11.775037560893768
JANSSEN PHARMACEUTICA,35698.1,2,21,Janssen Pharmaceutica,4,0.75,33,Janssen Pharmaceutica NV,10.482852745062912
JARO S A,10355.444444444445,1,23,JARO S.A.,4,1.0,14,Jaro S.A.,9.245267693666166
JAVNO PODJETJE ENERGETIKA MARIBOR D O O,13004.4,1,35,JAVNO PODJETJE ENERGETIKA MARIBOR D.O.O.,23,0.8695652173913043,91,Javno podjetje Energetika Maribor d.o.o.,9.47304304071695
JCDECAUX,1076.9,1,51,JCDECAUX SA,32,0.28125,34,JCDecaux,6.981841822334835
JET2 COM,697561.9090909091,1,51,Jet2.COM Limited,10,0.6,63,Jet2.Com Limited,13.455346547292125
JIHLAVSK KOTELNY S R O,3943.0,1,35,"JIHLAVSKÉ KOTELNY,s.r.o.",4,1.0,65,"Jihlavské kotelny, s.r.o.",8.279697133877628
JINDAL SAW ITALIA,2303.0,1,24,JINDAL SAW ITALIA SPA,15,0.0,44,Jindal Saw Italia SpA,7.741967899820685
JOHNSON CONTROLS,923.8,1,51,"Johnson Controls, Inc.",76,0.19736842105263158,45,Johnson Controls,6.828495597996505
JSW STEEL ITALY PIOMBINO S P A,241565.6,1,24,JSW STEEL ITALY PIOMBINO S.p.A.,26,0.3076923076923077,34,"JSW Steel Italy Piombino, S. P. A.",12.394896350799257
KABELWERK EUPEN,7317.5,1,27,Kabelwerk Eupen AG,140,0.36428571428571427,31,Kabelwerk Eupen,8.89802401856604
KALKWERKE H OETELSHOFEN,249155.4,1,23,Kalkwerke H. Oetelshofen GmbH & Co. KG,9,0.6666666666666666,24,Kalkwerke H. Oetelshofen GmbH & Co. KG,12.425832077165227
KAPOSV RI NKORM NYZATI VAGYONKEZEL S SZOLG LTAT,13680.8,1,35,Kaposvári Önkormányzati Vagyonkezelõ és Szolgáltató ZRt.,3,1.0,93,Kaposvári Önkormányzati Vagyonkezelő és Szolgáltató Zrt.,9.523748668998843
KARLSKOGA KRAFTV RMEVERK,38548.76666666667,3,35,Karlskoga Kraftvärmeverk AB,10,0.1,90,Karlskoga Kraftvärmeverk,10.559679385397109
KARLSRUHER INSTITUT F R TECHNOLOGIE KIT,16833.9,1,35,Karlsruher Institut für Technologie (KIT),23,0.6521739130434783,73,Karlsruher Institut für Technologie (KIT),9.73114998939508
KARLSTADS ENERGI,21363.168253968255,9,35,Karlstads Energi AB,7,0.0,90,Karlstads Energi AB,9.969423608571486
KAUNO ENERGIJA,19294.666666666668,6,35,AB Kauno energija,66,1.0,93,"AB ""Kauno Energija""",9.867583998189774
KELAG ENERGIE W RME,34914.3,6,35,Kelag Energie & Wärme GmbH,10,0.0,91,Kelag Energie & Wärme GmbH,10.460651766389484
KEMIRA CHEMICALS UK,17183.6,1,,Kemira Chemicals (UK) Ltd,3,0.0,24,Kemira Chemicals (UK) Ltd,9.751710719570255
KEMIRA KEMI,39730.8,1,20,Kemira Kemi AB,47,0.10638297872340426,24,Kemira Kemi AB,10.589881984523362
KERAVAN ENERGIA,19101.7,8,35,Keravan Energia Oy,51,0.0,93,Keravan Energia Oy,9.857532615309593
KIMBERLY CLARK,119301.57777777777,4,17,Kimberly Clark Limited,243,0.012345679012345678,33,Kimberly Clark Snc,11.68940983329426
KINGSTON HOSPITAL NHS FOUNDATION TRUST,7380.222222222223,1,86,Kingston Hospital NHS Foundation Trust,6,0.0,85,Kingston Hospital NHS Foundation Trust,8.906559028553405
KINNARPS,1119.5,1,51,Kinnarps AB,645,0.024806201550387597,39,Kinnarps AS,7.020637436038809
KME GERMANY,18091.222222222223,1,24,KME Germany GmbH,18,0.1111111111111111,14,KME Germany AG,9.803182139524516
KODA AUTO A S,18515.3,1,29,ŠKODA AUTO a.s.,1112,0.572841726618705,34,ŠKODA AUTO; a. s.,9.826352696295029
KODA JS A S,2773.0,1,25,ŠKODA JS a.s.,149,0.7516778523489933,50,ŠKODA JS a.s.,7.927685045615778
KODAK ALARIS,23334.0,1,20,Kodak Alaris Limited,17,0.17647058823529413,72,Kodak alaris,10.057666803383801
KOELNMESSE,2720.5,1,82,Koelnmesse GmbH,8,0.5,79,Koelnmesse Srl,7.90857096592598
KOGEN,24848.3,1,35,Kogen AS,3,0.0,24,KoGEN,10.120544618721896
KOHLER,100.75,1,51,KOHLER CO,48,0.20833333333333334,45,Kohler GmbH & Co. KG,4.612642200826793
KOKKOLAN ENERGIA,186165.8111111111,5,35,Kokkolan Energia Oy,11,0.0,93,Kokkolan Energia,12.134393013169632
KOMTERM ECHY S R O,3379.5,1,35,"KOMTERM Čechy, s.r.o.",44,0.7954545454545454,79,KOMTERM Čechy; s.r.o.,8.125483048540408
KOMUNALNE PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ SP Z O O,10679.666666666666,1,35,Komunalne Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,9,0.6666666666666666,93,Komunalne Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,9.276096901040846
KOTO D O O,4864.222222222223,1,10,KOTO d.o.o.,11,0.36363636363636365,90,KOTO d.o.o.,8.48966210973688
KOZIENICKA GOSPODARKA KOMUNALNA SP Z O O,25098.5,1,35,Kozienicka Gospodarka Komunalna Sp. z o.o.,27,0.8518518518518519,90,Kozienicka Gospodarka Komunalna sp. z o.o.,10.130563362377943
KRKA D D NOVO MESTO,26720.7,1,21,"KRKA, d. d., Novo mesto",48,0.14583333333333334,33,KRKA; d.d.; Novo mesto,10.193193824912221
KRONOS TITAN,348341.6666666666,3,20,Kronos Titan AS,12,0.9166666666666666,24,Kronos Titan AS,12.760939077871754
KRONOSPAN,140525.6,5,16,KRONOSPAN SAS,4,0.5,90,Kronospan,11.85314495756406
KSS ENERGIA,8986.6,1,35,KSS Energia Oy,90,0.022222222222222223,93,KSS Energia,9.103489857932992
KU LEUVEN,17380.5,2,86,KU Leuven,9,0.1111111111111111,73,KU Leuven,9.763104167105226
KUOPION ENERGIA,263072.8,9,35,Kuopion Energia Oy,8,0.0,93,Kuopion Energia Oy,12.480186078939816
KWS INFRA B V,10758.085317460318,4,23,KWS Infra B.V.,87,0.04597701149425287,45,KWS Infra b.v.,9.283412873407832
L SKI UNIWERSYTET MEDYCZNY W KATOWICACH,5602.5,1,35,Śląski Uniwersytet Medyczny w Katowicach,149,0.6040268456375839,80,Śląski Uniwersytet Medyczny w Katowicach,8.630968205675082
LA DORIA S P A,36889.6,3,10,La Doria S.p.A.,12,0.0,15,LA DORIA S.p.A.,10.515684947485038
LACPATRICK DAIRIES NI,18378.333333333332,1,10,LacPatrick Dairies (NI) Ltd,9,0.0,15,Lacpatrick Dairies NI Limited,9.818927713524669
LACTOGAL PRODUTOS ALIMENTARES S A,28223.055555555555,2,10,"Lactogal - Produtos Alimentares, S.A.",146,0.0547945205479452,15,Lactogal - Produtos alimentares; S.A.,10.24789449578758
LAHTI ENERGIA,364243.5666666667,29,35,Lahti Energia Oy,5,0.0,93,Lahti Energia Oy,12.805578062039205
LALLEMAND,13428.0,1,72,LALLEMAND,4,0.25,15,LALLEMAND,9.505097358099926
LAMINAZIONE ACCIAI SPECIALI S P A,4618.714285714285,1,24,Laminazione Acciai Speciali S.p.A,4,0.0,34,Laminazione Acciai Speciali S.p.A.,8.437871652209628
LANTM NNEN AGRO,4254.7,1,35,Lantmännen Agro Oy,4,0.0,24,Lantmännen Agro Oy,8.355779533233964
LAVERGNE,50831.4,2,17,LAVERGNE,10,0.2,45,Lavergne,10.836269552851343
LB CEMIX S R O,127466.1,1,23,"LB Cemix, s.r.o.",16,0.25,44,"LB Cemix, s.r.o.",11.755605725874698
LEDVANCE,23552.85714285714,2,23,LEDVANCE GmbH,4,0.25,31,Ledvance,10.06700241449991
LEK D D,12538.0,1,21,LEK d.d.,89,0.5168539325842697,33,LEK; d.d.,9.436519311833914
LENZING,177492.8,1,20,Lenzing AG,3,0.3333333333333333,33,Lenzing GmbH,12.08668532369461
LEONARDO S P A,108248.775,10,30,Leonardo S.p.A.,281,0.5444839857651246,50,Leonardo & Co. S.p.A.,11.592187329403476
LEONHARD KURZ STIFTUNG,27401.0,1,18,Leonhard Kurz Stiftung & Co. KG,3,1.0,19,Leonhard Kurz Stiftung & CO.KG.,10.21833478806055
LEROUX,14879.344444444445,2,10,LEROUX SAS,29,0.034482758620689655,45,Leroux,9.607729251263654
LESIEUR,20688.0,1,10,LESIEUR,15,0.0,77,Lesieur,9.937309101011639
LETI T PRAHA A S,13724.3,1,35,"Letiště Praha, a. s.",15,1.0,93,Letiště Praha; a.s.,9.5269232632556
LHOIST BUKOWA SP Z O O,388335.4,1,23,Lhoist Bukowa Sp. z o.o.,37,0.21621621621621623,44,Lhoist Bukowa Sp. z o.o.,12.86962467818808
LHOIST FRANCE OUEST,431268.5,4,23,LHOIST FRANCE OUEST,69,0.391304347826087,24,Lhoist France Ouest,12.974486144958314
LIBERTY MUTUAL INSURANCE,58.142857142857146,1,51,Liberty Mutual Insurance Company,40,0.55,66,Liberty Mutual Insurance,4.062903036387282
LIBERTY OSTRAVA A S,2870735.1666666665,3,24,Liberty Ostrava a.s.,10,0.0,44,Liberty Ostrava a.s.,14.870078710566537
LIDK PING ENERGI,46721.100000000006,3,35,Lidköping Energi AB,6,1.0,90,Lidköping Energi AB,10.751951161745488
LILLY FRANCE,7361.333333333333,1,21,LILLY France SAS,299,0.20066889632107024,33,Lilly France,8.903996354735826
LINDE FRANCE,135819.77777777778,1,20,LINDE FRANCE SA,503,0.35984095427435386,24,Linde France Sa,11.81908412251402
LINDE G Z MAGYARORSZ G,129703.66666666667,1,20,Linde Gáz Magyarország Zrt.,32,0.1875,24,Linde Gáz Magyarország ZRt.,11.77300764027245
LINDE GAS,180991.66666666666,1,,Oy Linde Gas Ab,184,0.28804347826086957,24,Linde Gas SA,12.106206268672413
LINDVALLS KAFFE,119.5,1,,Lindvalls Kaffe AB,5,0.0,15,Lindvalls Kaffe AB,4.783316371371566
LINERGY,3807.777777777778,1,10,Linergy Ltd,4,0.0,33,Linergy Ltd,8.244801037532435
LJUNGBY ENERGI,29210.480555555554,4,35,Ljungby Energi AB,4,0.0,90,Ljungby Energi AB,10.282282846994338
LLOYDS BANKING,203.75,1,64,Lloyds Banking Group plc,56,0.10714285714285714,66,Lloyds Banking Group,5.316893752120972
LOCKHEED MARTIN CORPORATION,124.77777777777777,1,51,Lockheed Martin Corporation,8,0.25,35,Lockheed Martin Corporation,4.826534377402224
LOCUM,267.8,3,35,Locum AB,3,0.0,50,Locum,5.5902404332570725
LOGANAIR,54522.333333333336,1,51,Loganair limited,14,0.42857142857142855,60,Loganair Limited,10.906365682644733
LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,7686.0,1,86,London North West University Healthcare NHS Trust,6,0.0,85,London North West University Healthcare NHS Trust,8.94715577112479
LOUGHBOROUGH UNIVERSITY,13735.666666666666,1,85,Loughborough University,43,0.06976744186046512,73,Loughborough University,9.527751135150265
LUBREM SP J K D BSKI J KLEPACKI,29685.285714285714,1,35,LUBREM Sp. J. K. Dębski J. Klepacki,3,0.6666666666666666,93,Lubrem Sp. j. K. Dębski J. Klepacki,10.298406771529123
LUCART,231088.59999999998,6,17,LUCART SPA,6,0.0,33,LUCART SPA,12.350556465751065
LUCOZADE RIBENA SUNTORY,28410.11111111111,1,11,Lucozade Ribena Suntory Limited,5,0.0,15,Lucozade Ribena Suntory Limited,10.254500385826546
LUFTFAHRT BUNDESAMT,334.0,1,51,Luftfahrt-Bundesamt,4,0.0,71,Luftfahrt-Bundesamt,5.811140992976701
LUFTHANSA CARGO,118881.27272727272,1,51,Lufthansa Cargo AG,6,0.0,60,LUFTHANSA CARGO,11.685880565877392
LUFTHANSA TECHNIK,27267.122222222224,4,33,Lufthansa Technik AG,35,0.8857142857142857,34,Lufthansa Technik AG,10.213436941199625
LUMINUS,973053.3,7,35,Luminus,96,0.13541666666666666,93,SA Luminus,13.78819413870174
LUSICAL COMPANHIA LUSITANA DE CAL S A,352693.2,1,23,Lusical - Companhia Lusitana de Cal S.A,17,0.6470588235294118,24,Lusical – Companhia Lusitana de Cal; S.A.,12.77335383619706
LYRECO,1516.6666666666665,2,51,LYRECO SAS,874,0.04233409610983982,30,Lyreco,7.324270223276886
M LARENERGI,275078.019047619,6,35,Mälarenergi AB,57,0.2631578947368421,93,Mälarenergi AB,12.524810042039583
M RKER KALK,318411.4,2,23,Märker Kalk GmbH,5,0.4,24,Märker Kalk GmbH,12.671099536331518
MAGYAR CUKOR,28811.7,1,10,Magyar Cukor Zrt.,4,1.0,15,Magyar Cukor Zrt.,10.268536833626849
MAGYAR SUZUKI,14382.4,1,29,Magyar Suzuki ZRt.,14,0.2857142857142857,34,Magyar Suzuki Zrt.,9.573760515819135
MAINOVA AKTIENGESELLSCHAFT,1075169.3,6,35,Mainova Aktiengesellschaft,8,0.25,65,Mainova Aktiengesellschaft,13.887988695516002
MAN ENERGY SOLUTIONS,18141.333333333332,6,28,MAN Energy Solutions SE,15,0.26666666666666666,42,MAN Energy Solutions SE,9.805948223356786
MAN TRUCK BUS,18946.5,2,29,MAN Truck & Bus SE,292,0.4075342465753425,34,MAN truck&bus bv,9.84937449688214
MANCHESTER AIRPORT,8187.555555555556,1,52,Manchester Airport PLC,4,0.0,32,Manchester Airport PLC,9.010370665331852
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,26008.0,2,86,Manchester University NHS Foundation Trust,22,0.2727272727272727,85,Manchester University NHS Foundation Trust,10.16615946198374
MANITALIDEA,750.25,1,26,MANITALIDEA SPA,18,0.0,90,Manitalidea SpA,6.620406484320476
MANUFACTURE FRAN AISE DES PNEUMATIQUES MICHELIN,112150.5611111111,9,22,Manufacture Française des Pneumatiques Michelin,34,0.38235294117647056,34,Manufacture française des pneumatiques Michelin,11.627597543155732
MARANGONI S P A,28109.1,1,22,Marangoni S.p.A.,4,0.0,19,Marangoni S.p.A.,10.243848646312246
MARIEHAMNS ENERGI,6142.944444444444,7,35,Mariehamns Energi Ab,8,1.0,93,Mariehamns Energi,8.723059457405704
MARS,12446.2,1,35,Mars GmbH,6,0.16666666666666666,90,Mars,9.429170634419945
MEDINOK,1364.5555555555557,1,35,MEDINOK SPA,33,0.0,50,Medinok SRL,7.218584054274165
MEDL,13274.599999999999,2,35,medl GmbH,23,0.7391304347826086,93,medl Gmbh,9.493607713829425
MEGAL,175760.09999999998,6,35,MEGAL GmbH & Co.KG,10,0.3,45,Megal,12.076875276015999
MERCEDES BENZ,345288.5,5,35,Mercedes-Benz AG,487,0.4887063655030801,34,Mercedes Benz,12.752135578450472
MERCEDES BENZ ESPA A S A U,18695.5,1,29,"MERCEDES-BENZ ESPAÑA, S.A.U.",20,0.9,34,MERCEDES-BENZ ESPA?A S.A.U.,9.836038132172586
MESKO S A,22805.6,1,35,MESKO S.A.,48,0.5833333333333334,35,MESKO S.A.,10.03476139881943
MESSE BERLIN,10464.9,1,35,Messe Berlin GmbH,8,0.875,79,Messe Berlin GmbH,9.255782079172715
METS LIITTO OSUUSKUNTA,1511.0,1,35,Metsäliitto Osuuskunta,4,0.5,33,Metsäliitto Osuuskunta,7.32052696227274
METS TISSUE,154498.9,6,17,Metsä Tissue GmbH,15,0.06666666666666667,33,Metsä Tissue,11.94794225555349
MG MOTOR UK,726.4,1,29,MG Motor UK Limited,3,0.0,34,MG Motor UK Ltd,6.588100827287083
MG VALDUNES,8469.0,1,,MG VALDUNES,3,0.0,34,MG Valdunes,9.0441677169216
MH TEPL RENSK A S,968460.0,8,35,"MH Teplárenský holding, a.s.",4,1.0,93,"MH Teplárenský holding, a.s. ",13.78346245999538
MICHELIN TYRE,33033.88888888889,2,22,Michelin Tyre Plc,12,0.08333333333333333,34,Michelin Tyre Plc,10.405289249537475
MICROSOFT IRELAND OPERATIONS,451.5,1,63,Microsoft Ireland Operations Limited,132,0.7196969696969697,48,Microsoft Ireland Operations Limited,6.11257537285704
MIDLAND QUARRY PRODUCTS,9022.125,1,23,Midland Quarry Products Limited,20,0.05,44,Midland Quarry Products Ltd,9.107435172893421
MIEJSKA ENERGETYKA CIEPLNA SP Z O O,97932.2,1,35,Miejska Energetyka Cieplna Sp. z o.o.,4,1.0,93,Miejska Energetyka Cieplna Sp. z o.o.,11.492030681488544
MIEJSKIE PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ,77347.85,4,35,MIEJSKIE  PRZEDSIĘBIORSTWO  ENERGETYKI  CIEPLNEJ,4,1.0,93,Miejskie Przedsiębiorstwo Energetyki Cieplnej SA,11.256068059881226
MIEJSKIE PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ S A,115276.7,2,35,Miejskie Przedsiębiorstwo Energetyki Cieplnej S.A,16,0.9375,93,Miejskie Przedsiębiorstwo Energetyki Cieplnej S.A.,11.655090604309475
MIEJSKIE PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ SP KA Z OGRANICZON ODPOWIEDZIALNO CI,87538.5,2,35,Miejskie Przedsiębiorstwo Energetyki Cieplnej Spółka z ograniczoną odpowiedzialnością,3,0.6666666666666666,93,Miejskie Przedsiębiorstwo Energetyki Cieplnej Spółka z ograniczoną odpowiedzialnością,11.37983397557409
MIEJSKIE PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ SP Z O O,68057.27777777778,4,35,Miejskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,44,0.7045454545454546,93,Miejskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,11.128104949867055
MIEJSKIE PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ W OM Y SP Z O O,61426.7,1,35,Miejskie Przedsiębiorstwo Energetyki Cieplnej w Łomży Sp. z o.o.,6,1.0,93,Miejskie Przedsiębiorstwo Energetyki Cieplnej w Łomży Sp. Z o.o.,11.025599873034082
MIEJSKIE PRZEDSI BIORSTWO GOSPODARKI KOMUNALNEJ SP KA Z O O,27023.2,1,35,Miejskie Przedsiębiorstwo Gospodarki Komunalnej Spółka z o.o.,76,0.8552631578947368,90,Miejskie Przedsiębiorstwo Gospodarki Komunalnej Spółka z o.o.,10.204451035293824
MIEJSKIE PRZEDSI BIORSTWO INFRASTRUKTURY KOS EKO SP Z O O,23298.0,1,35,Miejskie Przedsiębiorstwo Infrastruktury KOS-EKO Sp. z o.o.,4,1.0,90,Miejskie Przedsiębiorstwo Infrastruktury KOS-EKO Sp.  z o.o.,10.056122798959722
MIH MISKOLCI H SZOLG LTAT,4104.7,1,35,MIHÕ Miskolci Hõszolgáltató Kft.,5,1.0,65,MIHÖ Miskolci Hőszolgáltató Kft.,8.319887937608142
MINISTRY OF DEFENCE,59075.66468253968,11,84,Ministry of Defence,15,0.0,09,Ministry of Defence,10.98657435349481
MITIE FM,22694.88888888889,5,35,Mitie FM Limited,120,0.016666666666666666,45,MITIE FM Ltd,10.029895019037598
MITSUBISHI HITEC PAPER EUROPE,10003.9,1,17,Mitsubishi HiTec Paper Europe GmbH,4,1.0,22,Mitsubishi Hitec Paper Europe Gmbh,9.21073029594595
ML K RNA HLINSKO A S,7491.75,1,10,"Mlékárna Hlinsko, a.s.",17,1.0,15,Mlékárna Hlinsko; a.s.,8.921557694080368
MOHN MEDIA MOHNDRUCK,69372.3,1,35,Mohn Media Mohndruck GmbH,10,0.2,22,Mohn Media Mohndruck GmbH,11.147242931372457
MOL MAGYAR OLAJ S G ZIPARI NYRT,1723284.6,7,19,MOL Magyar Olaj- és Gázipari Nyrt,40,0.625,91,MOL Magyar Olaj- és Gázipari Nyrt.,14.359742678886676
MOLSON COORS BREWING UK,36274.11111111111,3,11,MOLSON COORS BREWING COMPANY (UK) LIMITED,14,0.0,15,Molson Coors Brewing Company UK Limited,10.49885957327879
MONARCH AIRLINES,648328.5,1,51,Monarch Airlines Limited,3,0.0,60,Monarch Airlines Limited,13.382152791325932
MOSAICO,283659.9,5,17,MOSAICO SpA,9,0.1111111111111111,32,Mosaico SRL,12.555531264313812
MOTOROLA SOLUTIONS,91.0,1,51,Motorola Solutions,17,0.35294117647058826,32,Motorola Solutions,4.51085950651685
MTT TEKSTIL D O O,2335.0,1,13,MTT TEKSTIL D.O.O.,4,0.5,17,MTT tekstil d.o.o.,7.755767170102998
MTU AERO ENGINES,18767.022222222222,5,30,MTU Aero Engines AG,5,0.8,34,MTU Aero Engines GmbH,9.839856471402163
MTU MAINTENANCE BERLIN BRANDENBURG,4985.222222222223,3,33,MTU Maintenance Berlin-Brandenburg GmbH,3,0.3333333333333333,50,MTU Maintenance Berlin Brandenburg GmbH,8.514233259581342
MUNCK ASFALT A S,7137.2,3,23,Munck Asfalt A/S,68,0.014705882352941176,45,Munck Asfalt a/s,8.873075821557274
MVV UMWELT ASSET,867.75,1,35,MVV Umwelt Asset GmbH,72,0.3888888888888889,90,MVV Umwelt Asset GmbH,6.765903654741896
MYTILINEOS HOLDINGS S A,1702862.2,2,24,MYTILINEOS HOLDINGS S.A.,6,0.0,91,Mytilineos Holdings S.A.,14.347821040340412
NAFTA A S,29305.811111111114,2,9.,NAFTA a.s.,9,0.0,76,Nafta a.s.,10.285541106777318
NATIONAL GRID GAS,294121.1333333333,24,35,National Grid Gas Plc,3,0.0,45,National Grid Gas plc,12.591746979605242
NATWEST,1262.5,3,,NatWest Group plc,21,0.0,66,Natwest,7.140849161149515
NAUJASIS KALCITAS,41659.666666666664,1,23,AB Naujasis kalcitas,3,0.0,14,AB „Naujasis kalcitas“,10.637288713502748
NAVAL,4595.666666666667,1,30,NAVAL GROUP,18,0.4444444444444444,35,Naval Group,8.43286910950352
NAVANTIA S A,23.0,1,35,"Navantia, S.A",38,0.6578947368421053,50,Navantia; S.A.,3.1354942159291497
NCC INDUSTRY A S,10460.977777777778,4,23,NCC Industry A/S,71,0.056338028169014086,45,NCC Industry A/S,9.25540721104916
NEDMAG B V,77190.33333333333,1,8.,NEDMAG Holding B.V.,3,0.3333333333333333,34,Nedmag B.V.,11.254029512283239
NEOELECTRA SC ECOENERG A NAVARRA S L U,46634.9,1,20,"Neoelectra SC Ecoenergía Navarra, S.L.U",3,0.0,90,Neoelectra SC Ecoenergía Navarra; S.L.U.,10.750104466846453
NEOS,71825.9,1,51,Neos Spa,14,0.0,43,NEOS SA,11.182000414224953
NEOVA,34232.75,5,35,Neova Oy,17,0.0,91,Neova AB,10.440938067181255
NESTE,2988641.8000000003,2,19,Neste Oyj,8,0.5,63,NESTE OYJ,14.910329594673584
NESTL ESPA A,136996.1,2,10,"Nestlé España, SA",6,0.0,33,"Nestlé España, SA",11.82770773725178
NESTL ITALIANA S P A,5860.0,1,10,Nestlè Italiana S.p.a.,211,0.2132701421800948,33,Nestlé Italiana S.p.A.,8.675904882571059
