nkey,emis_t,n_install,nace,example_eutl,n_contracts,sb_rate,cpv,example_proc,log_emis
ENI S P A,5485660.706349206,17,6.,ENI S.P.A.,29,0.27586206896551724,91,Eni S.p.A.,15.517648101383184
ENSO ENERGIE SACHSEN OST,29692.833333333332,1,35,ENSO Energie Sachsen Ost AG,15,0.6666666666666666,32,ENSO Energie Sachsen Ost AG,10.298660993764832
ENTEGA,19794.766666666666,5,35,ENTEGA AG,25,0.04,93,Entega,9.893172871982335
ENTER AIR SP KA Z OGRANICZON ODPOWIEDZIALNO CI,104756.75,1,51,Enter Air spółka z ograniczoną odpowiedzialnością,8,0.0,80,Enter Air Spółka z ograniczoną odpowiedzialnością,11.559396274849083
ENTERPRISE HOLDINGS,151.0,1,51,Enterprise Holdings Inc.,6,0.3333333333333333,34,Enterprise Holdings,5.017279836814924
ENVIRAL A S,70039.1,1,20,"ENVIRAL, a.s.",15,0.0,24,Enviral; a.s.,11.156808936517114
EQUINIX NETHERLANDS,53.5,1,,Equinix (Netherlands) BV,8,0.5,72,Equinix (Netherlands) BV,3.979681653901961
EQUINIX NETHERLANDS B V,473.9,5,63,Equinix (Netherlands) B.V.,4,0.5,72,Equinix (Netherlands) B.V.,6.1609963289735425
EQUINIX UK,1002.2190476190476,7,63,Equinix (UK) Limited,11,0.18181818181818182,72,Equinix (UK) Ltd,6.90997186815129
ERCROS S A,219073.48571428572,7,20,"Ercros, S.A.",34,0.23529411764705882,24,Ercros; S.A.,12.297162503720706
ESK AEROLINIE A S,156201.54545454544,1,51,České aerolinie a.s.,5,0.8,79,České aerolinie a. s.,11.958902410413971
ESK ZBROJOVKA A S,3230.4,1,25,Česká zbrojovka a.s.,42,0.9047619047619048,35,Česká zbrojovka a.s.,8.080361247558573
ESSAR OIL UK,2322920.3333333335,1,19,Essar Oil UK Ltd,8,0.0,91,Essar Oil (UK) Limited,14.658335716430647
ESSITY AUSTRIA,72638.9,1,17,Essity Austria GmbH,67,0.14925373134328357,33,Essity Austria GmbH,11.19325586998871
ESSITY FINLAND,5762.6,1,17,Oy Essity Finland Ab,139,0.4460431654676259,33,Oy Essity Finland Ab,8.659144040733509
ESSITY HYGIENE AND HEALTH,13141.9,2,17,Essity Hygiene and Health AB,17,0.5882352941176471,33,Essity Hygiene and Health AB,9.48356087823696
ESSITY ITALY S P A,21495.222222222223,1,17,ESSITY ITALY S.P.A.,72,0.2777777777777778,33,Essity Italy S.p.A.,9.975585967198516
ESSITY SPAIN S L,59165.828571428574,3,17,"Essity Spain, S.L.",109,0.07339449541284404,33,"Essity Spain, S. L.",10.988099434139233
ESSITY UK,133353.0,4,17,Essity UK Limited,28,0.03571428571428571,33,Essity UK Ltd,11.800755026544953
ESSO NORGE,309307.1,1,19,Esso Norge AS,27,0.0,91,Esso Norge AS,12.64208991346951
ESSO PETROLEUM,3220309.777777778,2,19,Esso Petroleum Company Limited,27,0.037037037037037035,91,Esso Petroleum Company Limited,14.984988117172069
ESV WIS OSAN SP Z O O,4232.5,1,35,ESV WISŁOSAN Sp. z o.o.,12,0.16666666666666666,93,ESV Wisłosan sp. z o.o,8.35054811400729
ESWE VERSORGUNGS,21315.5,3,35,ESWE Versorgungs AG,18,0.1111111111111111,65,ESWE Versorgungs AG,9.96718978658311
ETEL SAVON ENERGIA,3.0,1,35,Etelä-Savon Energia Oy,3,0.0,93,Etelä-Savon Energia Oy,1.0986122886681098
ETHANOL ENERGY A S,51959.4,1,11,Ethanol Energy a.s.,18,0.05555555555555555,24,Ethanol Energy a.s.,10.858217923373754
EURENCO,23049.214285714286,2,20,EURENCO,3,0.0,24,Eurenco,10.04538696045614
EUROFLY SERVICE,7836.333333333333,1,51,EUROFLY SERVICE SpA,8,0.875,50,Eurofly Service Srl,8.966526316869912
EUROKAMEN D O O,2018.0,1,,EUROKAMEN d.o.o.,4,0.0,45,Eurokamen d.o.o.,7.609862200913554
EUROVIA GRANDS PROJETS FRANCE,9607.069444444445,6,23,EUROVIA GRANDS PROJETS FRANCE,8,0.0,45,"EUROVIA GRANDS PROJETS FRANCE, SAS ",9.17025450690911
