country,ym,cpv_division,n,sb,ge3,sum_offers
DE,201602,16,1,1,0,1
DK,201602,24,1,0,1,4
PT,201602,35,1,0,1,4
CZ,201602,22,7,0,3,20
SI,201602,22,6,1,3,18
PT,201602,48,2,0,0,4
SI,201602,18,1,0,1,3
PL,201602,18,7,7,0,7
HR,201602,42,1,1,0,1
SI,201602,79,1,0,0,2
GR,201602,50,6,0,6,54
HR,201602,73,1,0,0,2
SI,201602,31,4,0,2,10
GR,201602,48,1,0,1,5
MK,201602,15,14,0,14,54
MK,201602,34,3,0,2,10
NO,201602,75,2,0,1,7
NO,201602,09,1,0,1,3
ES,201602,73,24,0,24,120
SK,201602,44,3,0,3,12
LV,201602,48,70,0,70,2578
LV,201602,15,29,8,12,67
LT,201602,44,1,0,1,3
CY,201602,24,1,0,1,3
AT,201602,35,1,1,0,1
GR,201602,77,2,0,2,8
GR,201602,45,1,0,1,4
IE,201602,34,1,0,1,3
HU,201602,76,1,1,0,1
NO,201602,35,1,0,0,2
CH,201602,38,3,1,2,7
SK,201602,39,1,1,0,1
ES,201602,18,1,0,1,5
BE,201602,43,3,3,0,3
BG,201602,19,1,1,0,1
PL,201602,35,1,1,0,1
PT,201602,60,2,2,0,2
SK,201602,60,1,1,0,1
FI,201602,98,1,0,1,4
IE,201602,66,2,0,1,6
LU,201602,48,1,0,1,6
MK,201602,24,2,2,0,2
