country,ym,cpv_division,n,sb,ge3,sum_offers
BE,201602,60,262,32,171,827
BE,201602,71,17,0,8,63
DK,201602,60,8,1,3,21
SE,201602,75,2,1,1,5
DE,201602,73,11,6,5,23
DE,201602,75,19,4,11,61
EE,201602,70,2,0,2,7
DE,201602,51,1,0,0,2
UK,201602,98,33,12,10,403
EE,201602,77,19,1,18,341
IT,201602,75,5,1,3,15
FI,201602,72,11,0,7,39
IE,201602,22,1,1,0,1
DE,201601,79,43,9,34,885
IT,201602,42,11,3,8,53
LV,201602,77,150,1,146,1176
FR,201601,90,29,9,16,114
SK,201602,50,16,6,10,37
CZ,201602,71,41,10,23,194
CZ,201602,66,9,4,1,16
FR,201602,65,8,1,4,21
DK,201602,73,1,0,0,2
SK,201602,80,2,1,0,3
DE,201602,64,34,5,22,96
AT,201602,50,4,2,2,10
SE,201602,70,5,1,3,15
HU,201602,90,44,21,5,83
FR,201602,75,6,1,2,13
IT,201602,44,13,0,7,40
AT,201602,31,8,0,8,38
PL,201601,24,4,2,1,7
LV,201602,34,48,2,44,405
FI,201602,60,32,1,23,221
SK,201602,71,6,4,2,24
LT,201602,50,42,5,35,1236
MK,201602,72,1,0,1,5
MK,201602,63,1,0,0,2
LT,201602,98,24,0,0,48
HU,201602,79,44,40,3,55
RO,201602,45,7,3,3,15
FI,201602,45,23,4,17,94
HR,201602,48,3,1,1,6
EE,201602,33,7,1,2,23
EE,201602,24,136,0,135,3512
FR,201602,14,9,3,5,26
ES,201602,14,4,1,3,10
HU,201602,31,2,0,1,5
FI,201602,34,3,0,1,7
PT,201602,33,5,1,0,9
LV,201602,50,5,5,0,5
BG,201602,63,6,6,0,6
SI,201602,66,3,0,1,8
SI,201602,90,19,2,12,66
EE,201602,55,1,0,0,2
EE,201602,63,12,0,12,57
FI,201602,80,25,7,15,86
CZ,201602,72,22,16,4,46
FI,201602,90,24,1,16,101
CZ,201602,73,2,0,1,5
DK,201602,63,2,2,0,2
NL,201602,60,5,0,5,26
DE,201602,22,10,0,9,41
IE,201602,92,1,0,0,2
EE,201602,90,11,0,10,36
FR,201602,70,3,1,2,10
HU,201602,66,10,1,9,45
PT,201602,71,1,0,1,3
BE,201602,77,32,1,31,326
CY,201602,66,2,0,2,7
HR,201602,50,12,4,6,37
LV,201602,09,11,3,3,25
NL,201602,65,5,0,3,18
NL,201602,32,9,0,9,50
BG,201602,35,1,0,1,3
HR,201602,51,8,1,5,21
NO,201602,48,9,0,6,34
NO,201602,72,8,2,6,46
NO,201602,73,5,2,3,20
CH,201602,77,1,0,1,4
CH,201602,30,2,0,1,5
CH,201602,64,1,0,1,4
CH,201602,60,1,0,1,3
BE,201602,73,264,0,240,3360
MT,201602,44,2,0,2,10
RO,201602,19,1,0,1,5
SK,201602,38,11,9,2,15
LV,201602,19,1,0,1,3
CZ,201602,32,4,1,2,10
DK,201602,50,20,1,19,132
SI,201602,30,5,2,1,9
SI,201602,33,41,17,18,210
DE,201602,18,16,6,8,46
FR,201602,03,17,2,10,56
EE,201602,18,2,0,2,14
FI,201602,15,13,2,9,38
FI,201602,42,6,2,4,21
MT,201602,31,3,1,2,14
FI,201602,09,12,0,12,73
FI,201602,22,2,1,0,3
BE,201602,42,4,1,2,11
IT,201602,22,3,2,1,5
RO,201602,55,2,2,0,2
UK,201602,73,26,2,24,342
SK,201602,55,2,0,2,6
CZ,201602,77,99,8,66,1391
PT,201602,72,4,2,2,10
PT,201602,90,8,0,6,45
NL,201602,98,3,1,2,10
IT,201602,16,1,0,1,6
BE,201602,85,3,0,2,8
CY,201602,75,12,0,12,108
BE,201602,55,1,0,0,2
GR,201602,71,4,0,3,19
PL,201602,24,15,5,9,38
BE,201602,34,22,8,7,47
BG,201602,24,1,1,0,1
PL,201602,76,18,4,9,61
BG,201602,60,1,0,1,4
NO,201602,60,4,1,3,19
LU,201602,80,192,24,168,2880
BJ,201602,79,24,0,0,48
DK,201602,51,5,0,5,35
SI,201602,09,5,0,4,23
SI,201602,03,42,3,29,159
BG,201602,38,4,1,3,10
DK,201602,39,8,0,8,73
